id,messages_id,ai_text,user_text,created_at
1,3,"A AMD Ryzen 7 9800X3D ára 195 000 Ft.

⚠️ (Az AI egyenlege elfogyott, adatbázisból válaszoltam.)",mennyibe kerül a ryzen 7 9800X3D ?,2026-02-11 18:34:52.146002+00
2,4,Nincs adat a helyi adatbázisban.,szia,2026-02-11 18:44:06.607027+00
3,3,"A(z) AMD termékei:

- AMD Ryzen 7 9800X3D | Socket: AM5 | Ár: 195 000 Ft
- AMD Ryzen 7 7800X3D | Socket: AM5 | Ár: 155 000 Ft
- AMD Ryzen 5 9600X | Socket: AM5 | Ár: 110 000 Ft
- AMD Ryzen 7 5800X | Socket: AM4 | Ár: 95 000 Ft
- AMD Ryzen 5 7600X | Socket: AM5 | Ár: 95 000 Ft
- AMD Ryzen 7 9700X | Socket: AM5 | Ár: 140 000 Ft
- AMD Ryzen 9 9950X3D | Socket: AM5 | Ár: 290 000 Ft
- AMD Ryzen 5 5600X | Socket: AM4 | Ár: 55 000 Ft
- AMD Ryzen 7 5700X3D | Socket: AM4 | Ár: 88 000 Ft
- AMD Ryzen 7 5700X | Socket: AM4 | Ár: 80 000 Ft
- AMD Ryzen 5 5600 | Socket: AM4 | Ár: 48 000 Ft
- AMD Ryzen 5 7500F | Socket: AM5 | Ár: 65 000 Ft
- AMD Ryzen 9 5950X | Socket: AM4 | Ár: 165 000 Ft
- AMD Ryzen 5 3600 | Socket: AM4 | Ár: 40 000 Ft
- AMD Ryzen 7 7700 | Socket: AM5 | Ár: 120 000 Ft
- AMD Ryzen 5 8400F | Socket: AM5 | Ár: 72 000 Ft
- AMD Ryzen 5 5500 | Socket: AM4 | Ár: 40 000 Ft
- AMD Ryzen 7 7700X | Socket: AM5 | Ár: 125 000 Ft
- AMD Ryzen 9 9900X | Socket: AM5 | Ár: 210 000 Ft
- AMD Ryzen 9 7900X | Socket: AM5 | Ár: 175 000 Ft
- AMD Ryzen 5 8600G | Socket: AM5 | Ár: 90 000 Ft

⚠️ (Az AI egyenlege elfogyott, adatbázisból válaszoltam.)",milyen amd processzorok vannak ?,2026-02-11 20:07:53.700804+00
4,3,"A(z) AMD termékei:

- AMD Ryzen 7 9800X3D | Socket: AM5 | Ár: 195 000 Ft
- AMD Ryzen 7 7800X3D | Socket: AM5 | Ár: 155 000 Ft
- AMD Ryzen 5 9600X | Socket: AM5 | Ár: 110 000 Ft
- AMD Ryzen 7 5800X | Socket: AM4 | Ár: 95 000 Ft
- AMD Ryzen 5 7600X | Socket: AM5 | Ár: 95 000 Ft
- AMD Ryzen 7 9700X | Socket: AM5 | Ár: 140 000 Ft
- AMD Ryzen 9 9950X3D | Socket: AM5 | Ár: 290 000 Ft
- AMD Ryzen 5 5600X | Socket: AM4 | Ár: 55 000 Ft
- AMD Ryzen 7 5700X3D | Socket: AM4 | Ár: 88 000 Ft
- AMD Ryzen 7 5700X | Socket: AM4 | Ár: 80 000 Ft
- AMD Ryzen 5 5600 | Socket: AM4 | Ár: 48 000 Ft
- AMD Ryzen 5 7500F | Socket: AM5 | Ár: 65 000 Ft
- AMD Ryzen 9 5950X | Socket: AM4 | Ár: 165 000 Ft
- AMD Ryzen 5 3600 | Socket: AM4 | Ár: 40 000 Ft
- AMD Ryzen 7 7700 | Socket: AM5 | Ár: 120 000 Ft
- AMD Ryzen 5 8400F | Socket: AM5 | Ár: 72 000 Ft
- AMD Ryzen 5 5500 | Socket: AM4 | Ár: 40 000 Ft
- AMD Ryzen 7 7700X | Socket: AM5 | Ár: 125 000 Ft
- AMD Ryzen 9 9900X | Socket: AM5 | Ár: 210 000 Ft
- AMD Ryzen 9 7900X | Socket: AM5 | Ár: 175 000 Ft
- AMD Ryzen 5 8600G | Socket: AM5 | Ár: 90 000 Ft

⚠️ (Az AI egyenlege elfogyott, adatbázisból válaszoltam.)",milyen amd processzorok vannak ?,2026-02-11 20:14:39.243422+00
5,3,"A(z) Intel termékei:

- Intel Core i5-14600K | Socket: LGA1700 | Ár: 135 000 Ft
- Intel Core i5-14400F | Socket: LGA1700 | Ár: 62 000 Ft
- Intel Core Ultra 7 265K | Socket: LGA1851 | Ár: 190 000 Ft
- Intel Xeon Gold 5218 | Socket: LGA3647 | Ár: 410 000 Ft
- Intel Core i5-12400F | Socket: LGA1700 | Ár: 50 000 Ft
- Intel Core i7-14700K | Socket: LGA1700 | Ár: 180 000 Ft
- Intel Core Ultra 9 285K | Socket: LGA1851 | Ár: 260 000 Ft
- Intel Core i9-14900K | Socket: LGA1700 | Ár: 220 000 Ft
- Intel Core i5-14600KF | Socket: LGA1700 | Ár: 130 000 Ft
- Intel Core i7-14700KF | Socket: LGA1700 | Ár: 175 000 Ft
- Intel Core i5-10400F | Socket: LGA1200 | Ár: 40 000 Ft

⚠️ (Az AI egyenlege elfogyott, adatbázisból válaszoltam.)",milyen intel processzorok vannak ?,2026-02-11 20:15:15.73701+00
6,3,"A keresett termék nem található pontosan. Hasonló termékek:

- AMD Ryzen 5 9600X – 110 000 Ft
- AMD Ryzen 5 7600X – 95 000 Ft
- AMD Ryzen 5 5600X – 55 000 Ft
- AMD Ryzen 5 5600 – 48 000 Ft
- AMD Ryzen 5 7500F – 65 000 Ft

⚠️ (Az AI egyenlege elfogyott, adatbázisból válaszoltam.)",benne van a ryzen 5 5500 ?,2026-02-11 20:15:45.747791+00
7,3,"A(z) Pioneer termékei:

- Pioneer VSX-535D
- Pioneer VSX-835D-B
- Pioneer VSX-935
- Pioneer VSX-LX305
- Pioneer VSX-LX505
- Pioneer A-10AE
- Pioneer SC-LX81
- Pioneer Pioneer SC-LX81

⚠️ (Az AI egyenlege elfogyott, adatbázisból válaszoltam.)",sorold fel a pioneer eszközöket,2026-02-11 20:15:57.659948+00
8,3,Nincs adat a helyi adatbázisban.,írd le a ryzen 7 7800X3D -nek az árát,2026-02-11 20:16:14.22778+00
9,3,"A AMD Ryzen 7 9800X3D ára 195 000 Ft.

⚠️ (Az AI egyenlege elfogyott, adatbázisból válaszoltam.)","mennyibe kerül a ryzen 7 7800X3D ",2026-02-11 20:16:40.382275+00
10,3,Nincs adat a helyi adatbázisban.,hány amd 3D vel végződésű processzor van ?,2026-02-11 20:16:59.260261+00
11,3,AMD Ryzen 7 9800X3D megtalálható az adatbázisban.,mennyibe kerül a ryzen 7 9800X3D,2026-02-11 20:28:33.436274+00
12,3,Nincs adat a helyi adatbázisban.,milyen jó processzorok vannak ?,2026-02-11 20:28:49.441423+00
13,3,Nincs adat a helyi adatbázisban.,milyen erősítők vannak ?,2026-02-11 20:28:58.747795+00
