1,Orange Dual Terror 30 Csöves gitárerősítők
2,Marshall DSL1HR Csöves gitárerősítők
3,Marshall 2525H Mini Jubilee 20W Csöves gitárerősítők
4,Orange Dark Terror 15W Csöves gitárerősítők
5,Marshall 2525H Mini Jubilee 20W Csöves gitárerősítők
6,Marshall Origin 20H Csöves gitárerősítők
7,Electro Harmonix MIG-50 Csöves gitárerősítők
8,Engl E606 Ironball Csöves gitárerősítők
9,Vox AC15CH Csöves gitárerősítők
10,Victory Amplifiers VX Head The Kraken Csöves gitárerősítők
11,Laney IRT15H Csöves gitárerősítők
