id,provider,manufacturer,model,connection_type,wifi_standard,max_wifi_bandwidth_mbps,lan_ports,lan_speed,wan_type,usb_ports,supports_bridge_mode,supports_port_forwarding,supports_vlan,supports_ipv6,configuration_access,remotely_managed,notes,category,created_at
1,Telekom,Sagemcom,F@st 5655v2,GPON,WiFi 5,2200,4,1G,Optical,1,true,true,true,true,limited web GUI,true,Common Telekom fiber modem,network,2026-02-16 18:37:01.254065+00
2,Telekom,Sagemcom,F@st 5670,GPON,WiFi 6,3000,4,1G,Optical,1,true,true,true,true,limited web GUI,true,WiFi 6 Telekom modem,network,2026-02-16 18:37:01.254065+00
3,Telekom,Sagemcom,F@st 3686,DOCSIS,WiFi 5,1900,4,1G,Coax,1,true,true,true,true,limited web GUI,true,Cable modem,network,2026-02-16 18:37:01.254065+00
4,Telekom,ZTE,ZXHN H298N,DSL,WiFi 4,300,4,1G,RJ11,1,true,true,true,true,limited web GUI,true,Older DSL modem,network,2026-02-16 18:37:01.254065+00
5,Telekom,ZTE,ZXHN F668,GPON,WiFi 4,300,4,1G,Optical,1,true,true,true,true,limited web GUI,true,Early fiber modem,network,2026-02-16 18:37:01.254065+00
6,Telekom,ZTE,ZXHN H369A,GPON,WiFi 6,3600,4,1G,Optical,1,true,true,true,true,limited web GUI,true,WiFi 6 Telekom ONT,network,2026-02-16 18:37:01.254065+00
7,Telekom,Huawei,HG8245H,GPON,WiFi 4,300,4,1G,Optical,2,true,true,true,true,limited web GUI,true,Fiber ONT,network,2026-02-16 18:37:01.254065+00
8,Telekom,Huawei,HG8245Q2,GPON,WiFi 5,1900,4,1G,Optical,2,true,true,true,true,limited web GUI,true,AC WiFi ONT,network,2026-02-16 18:37:01.254065+00
9,Telekom,Technicolor,FGA2233,GPON,WiFi 6,3000,4,1G,Optical,1,true,true,true,true,limited web GUI,true,Newer Telekom fiber modem,network,2026-02-16 18:37:01.254065+00
10,Telekom,Technicolor,TC7200,DOCSIS,WiFi 4,300,4,1G,Coax,1,true,true,true,true,limited web GUI,true,Older cable modem,network,2026-02-16 18:37:01.254065+00
11,Telekom,Arris,TG3442DE,DOCSIS,WiFi 5,1900,4,1G,Coax,2,true,true,true,true,limited web GUI,true,Cable modem,network,2026-02-16 18:37:01.254065+00
12,Telekom,Arris,TG2492LG,DOCSIS,WiFi 5,1750,4,1G,Coax,2,true,true,true,true,limited web GUI,true,Telekom cable modem,network,2026-02-16 18:37:01.254065+00
13,Telekom,Sagemcom,F@st 5670AX,GPON,WiFi 6,3600,4,1G,Optical,1,true,true,true,true,limited web GUI,true,AX3600 Telekom modem,network,2026-02-16 18:37:01.254065+00
14,Telekom,ZTE,ZXHN F680,GPON,WiFi 5,2200,4,1G,Optical,1,true,true,true,true,limited web GUI,true,Fiber ONT,network,2026-02-16 18:37:01.254065+00
15,Telekom,Huawei,EchoLife HG8145V5,GPON,WiFi 5,2200,4,1G,Optical,1,true,true,true,true,limited web GUI,true,Telekom ONT variant,network,2026-02-16 18:37:01.254065+00
