1,RODE M5-MP kismembrános kondenzátormikrofon illesztett pár
2,Sennheiser e 935 dinamikus énekmikrofon
3,Universal Audio SD-1 nagymembrános dinamikus mikrofon
4,RODE PodMic dinamikus podcast mikrofon
5,RODE X XDM-100 USB dinamikus mikrofon
6,Shure KSM8/N Dualdyne dupla-membrános kézi dinamikus énekmikrofon
7,RODE PodMic USB dinamikus USB/XLR broadcast/podcast mikrofon
8,Neumann KMS 104 Plus BK kondenzátor énekmikrofon
9,RODE NT-USB+ professzionális USB kondenzátor mikrofon
10,RODE NT1 5th Generation nagymembrános XLR/USB kondenzátormikrofon csomag - fekete
