id,manufacturer,model,generation,series,interface,inputs_total,outputs_total,mic_inputs,line_inputs,instrument_inputs,headphone_outputs,max_sample_rate,bit_depth,phantom_power,air_mode,dsp,latency_ms,midi_in,midi_out,adat_inputs,adat_outputs,rack_mountable,bus_powered,dimensions,weight_kg,compatible_os,release_year,notes,created_at,category,Price
1,Focusrite,Scarlett Solo,4th Gen,Scarlett,USB,2,2,1,,1,1,192000,24,true,true,false,2.00,false,false,,,false,true,,,"Windows, macOS",2023,Belépő szintű audio interfész,2025-12-15 11:20:02.872531,speakerS,49800
2,Focusrite,Scarlett 2i2,4th Gen,Scarlett,USB,4,2,2,,2,1,192000,24,true,true,false,2.00,false,false,,,false,true,,,"Windows, macOS",2023,Otthoni stúdiók kedvence,2025-12-15 11:20:02.872531,speakerS,73400
3,Focusrite,Scarlett 4i4,4th Gen,Scarlett,USB,4,4,2,,2,2,192000,24,true,true,false,2.00,true,true,,,false,true,,,"Windows, macOS",2023,MIDI + több kimenet,2025-12-15 11:20:02.872531,speakerS,115000
4,Focusrite,Scarlett 8i6,4th Gen,Scarlett,USB,8,6,2,,2,2,192000,24,true,true,false,2.00,true,true,,,false,true,,,"Windows, macOS",2023,"Több bemenet, kompakt méret",2025-12-15 11:20:02.872531,speakerS,120000
5,Focusrite,Scarlett 18i16,4th Gen,Scarlett,USB,18,16,8,,2,2,192000,24,true,false,false,2.50,true,true,,,true,false,,,"Windows, macOS",2023,Rack audio interfész,2025-12-15 11:20:02.872531,speakerS,236000
10,Focusrite,Scarlett 18i8,3rd Gen,Scarlett,USB,18,8,4,,2,2,192000,24,true,false,false,2.50,true,true,,,true,false,,,"Windows, macOS",2019,Rack kivitel,2025-12-15 11:20:02.872531,speakerS,139000
11,Focusrite,Scarlett 18i20,3rd Gen,Scarlett,USB,18,20,8,,2,2,192000,24,true,false,false,2.50,true,true,,,true,false,,,"Windows, macOS",2019,Nagy stúdiók,2025-12-15 11:20:02.872531,speakerS,262000
12,Focusrite,Clarett+ 2Pre,,Clarett+,USB,10,4,2,,2,1,192000,24,true,false,true,1.50,true,true,,,false,false,,,"Windows, macOS",2021,Professional audio interfész,2025-12-15 11:20:02.872531,speakerS,176000
13,Focusrite,Clarett+ 4Pre,,Clarett+,USB,18,8,4,,2,2,192000,24,true,false,true,1.50,true,true,,,true,false,,,"Windows, macOS",2021,Rack audio interfész,2025-12-15 11:20:02.872531,speakerS,226300
14,Focusrite,Clarett+ 8Pre,,Clarett+,USB,18,20,8,,2,2,192000,24,true,false,true,1.50,true,true,,,true,false,,,"Windows, macOS",2021,High-end rack interfész,2025-12-15 11:20:02.872531,speakerS,364200
18,Behringer,UM2 U-Phoria,,U-Phoria,USB,2,2,1,0,1,1,48000,16,true,false,false,5.00,false,false,false,false,false,true,127 x 110 x 46 mm,0.30,"Windows, macOS",2015,Olcsó alap USB hangkártya,2025-12-17 13:48:12.353468,speakerS,17700
19,M-Audio,AIR 192|4,,AIR,USB,2,4,1,1,1,1,192000,24,true,false,false,2.60,false,false,false,false,false,true,198 x 152 x 71 mm,0.50,"Windows, macOS",2019,Gyors USB interfész gitárhoz és mikrofonhoz,2025-12-17 13:48:12.353468,speakerS,42900
20,M-Audio,AIR 192|14,,AIR,USB,8,4,4,4,2,2,192000,24,true,false,false,2.40,true,true,true,true,true,false,483 x 44 x 213 mm,3.60,"Windows, macOS",2019,Rackes stúdió interfész ADAT-tal,2025-12-17 13:48:12.353468,speakerS,128000
21,Presonus,Quantum HD2,,Quantum,USB,2,2,2,0,0,1,192000,24,true,false,true,1.00,false,false,false,false,false,false,229 x 178 x 44 mm,1.50,"Windows, macOS",2022,"Ultra alacsony latency, DSP",2025-12-17 13:48:12.353468,speakerS,235000
22,Presonus,Quantum ES4,,Quantum,USB,4,4,4,0,0,2,192000,24,true,false,true,1.00,true,true,true,true,true,false,483 x 44 x 213 mm,3.90,"Windows, macOS",2023,Professzionális rack hangkártya ADAT-tal,2025-12-17 13:48:12.353468,speakerS,136000
23,Zoom,U-22,U-Series,U-Series,USB 2.0,2,2,1,,1,1,96,24,true,,false,5.50,false,false,,,,true,160 × 120 × 47 mm,0.61,"Windows, macOS, iOS",2015,"XLR mic input with phantom power, Hi-Z instrument input, direct monitoring, portable USB interface",2025-12-27 20:31:42.568898,soundcard,35000
