1,Spectrasonics Omnisphere 2.6 szoftver szintetizátor plugin
2,Spectrasonics Keyscape virtuális billentyűs hangszer szoftver plugin
3,Steinberg Cubase Artist 13 DAW szoftver - oktatási változat
4,Arturia Pigments 6 szoftver szintetizátor plugin - letölthető változat
5,ABLETON Live 12 Standard (Digitális termék)
6,ABLETON Live 12 Suite (Digitális termék)
7,ABLETON Live 12 Intro (Digitális termék)
8,ABLETON Live 12 Suite EDU (Digitális termék)
9,Image Line FL Studio Producer Edition (Digitális termék)
10,Image Line FL Studio All Plugins Edition (Digitális termék)
11,Image Line FL Studio Fruity Edition (Digitális termék)
12,Image Line FL Studio Signature Bundle (Digitális termék)
13,Steinberg Cubase Elements 14 Upgrade AI (Digitális termék)
14,Steinberg Cubase Elements 14 EDU (Digitális termék)
15,Steinberg Cubase Elements 14 (Digitális termék)
16,Steinberg Cubase Elements 14 Upgrade LE (Digitális termék)
17,AVID Pro Tools Ultimate Perpetual License (Digitális termék)
18,Presonus Studio One Pro 7 Academic (Digitális termék)
19,Native Instruments Traktor Pro 4 (Digitális termék)
