id,cabrio_id,hatchback_id,coupe_id,wagon_id,created_at,setup_id,setup_name,mpv_id,crossover_id,pickup_id
2,,,,,2026-01-11 17:01:26.776022+00,14,HONDA Civic 1.8 Sport,,,
4,,,,,2026-01-11 17:08:40.431564+00,14,HONDA Civic 2.0 Type R GT Pack,,,
6,,,,,2026-01-11 17:37:23.135678+00,14,FERRARI Purosangue,,,
7,,,,,2026-01-11 17:42:03.659932+00,14,PORSCHE 911 GT3 PDK,,,
8,,,,,2026-01-16 12:02:39.956347+00,14,SUBARU Impreza 2.5 WRX,,,
12,,,,,2026-01-19 11:12:53.395402+00,24,SUZUKI Ignis 1.3 GLX AC,,,
15,,,,,2026-01-23 18:38:35.82527+00,14,VOLVO XC90 2.0 T8 Ultra Bright,,,
16,,,,,2026-01-25 12:38:55.433535+00,14,ALFA ROMEO Stelvio 2.9 T-V6 Quadrifoglio Q4,,,
17,,,,,2026-01-25 13:00:39.469415+00,14,TOYOTA RAV4 2.2 D-4D 4x4 Sol,,,
18,,,,4,2026-01-25 13:48:49.773586+00,4,SKODA Octavia Combi 1.4 TSI Ambition,,,
19,,,,,2026-01-26 11:56:55.261353+00,14,FORD S-Max 2.0 TDCi Titanium Powershift,,,
20,,,,,2026-02-20 22:29:42.563799+00,80,FORD S-Max 2.0 TDCi Titanium Powershift,4,,
22,,,9,,2026-02-22 19:37:03.528197+00,80,CHEVROLET CORVETTE Coupe Stingray 6.2 V8 USA,,,
24,,,,,2026-03-19 19:55:10.869189+00,117,ALFA ROMEO Stelvio 2.9 T-V6 Quadrifoglio Q4,,10,
25,4,,,,2026-03-19 20:00:13.333325+00,117,AUDI A4 Cabrio 2.0 TFSI,,,
26,,,,11,2026-03-20 06:21:29.703663+00,115,AUDI RS6 Avant TFSI performance quattro Tiptronic,,,
27,,,,12,2026-03-20 10:03:57.404582+00,24,ASTON MARTIN DBX707 4.0 V8,,,
30,,,,,2026-03-22 14:18:24.009966+00,126,ALFA ROMEO Stelvio 2.9 T-V6 Quadrifoglio Q4,,10,
34,,,,11,2026-03-22 14:30:48.978408+00,126,AUDI RS6 Avant TFSI performance quattro Tiptronic,,,
35,11,,,,2026-03-22 14:42:58.657214+00,126,FERRARI SF90 SPIDER,,,
36,,,11,,2026-03-22 14:43:32.684333+00,126,FERRARI 812 SUPERFAST,,,
37,,1,,,2026-03-22 14:43:48.458119+00,126,SUZUKI Ignis 1.3 GLX AC,,,
38,,,,4,2026-03-22 14:44:11.677978+00,126,SKODA Octavia Combi 1.4 TSI Ambition,,,
39,,,,,2026-03-22 14:44:41.091433+00,128,BMW 225e xDrive DKG,7,,
40,,,,,2026-03-22 14:44:47.906649+00,128,ALFA ROMEO Stelvio 2.9 T-V6 Quadrifoglio Q4,,10,
41,,,,,2026-03-22 14:45:18.133544+00,128,FORD S-Max 2.0 TDCi Titanium Powershift,4,,
42,,,,,2026-03-22 14:45:27.057271+00,128,TOYOTA RAV4 2.2 D-4D 4x4 Sol,,3,
43,,11,,,2026-03-22 14:45:34.746886+00,128,TESLA Model S Plaid AWD,,,
44,,,,,2026-03-22 14:46:15.547519+00,128,VOLKSWAGEN Touran 1.5 TSI,5,,
