id,manufacturer,model,max_channels,dolby_atmos,dts_x,auro_3d,hdmi_in,hdmi_out,hdmi_earc,network,notes,category
1,Trinnov,Altitude 16,16,true,true,true,7,2,false,false,,homeT
2,StormAudio,ISP Elite MK3,18,true,true,true,7,2,false,false,,homeT
3,Trinnov,Altitude 32,32,true,true,true,7,4,true,true,"Reference cinema processor, Optimizer room correction",homeT
4,Trinnov,Altitude 16,16,true,true,true,7,2,true,true,High-end immersive processor,homeT
5,StormAudio,ISP Elite MK3,18,true,true,true,7,2,true,true,Flagship StormAudio processor,homeT
6,StormAudio,ISP Core 16,16,true,true,true,7,2,true,true,Compact high-end immersive processor,homeT
7,Lyngdorf,MP-60 2.1,16,true,true,true,7,2,true,true,RoomPerfect calibration system,homeT
8,Anthem,AVM 90,15,true,true,false,7,2,true,true,"ARC Genesis, ESS DAC",homeT
9,Anthem,AVM 70,15,true,true,false,7,2,true,true,ARC Genesis processor,homeT
10,Marantz,AV 10,15,true,true,false,7,3,true,true,Flagship Marantz AV processor,homeT
11,Arcam,AV41,16,true,true,false,7,3,true,true,"Dirac Live, premium build",homeT
12,Arcam,AV40,16,true,true,false,7,3,true,true,High-performance AV processor,homeT
13,JBL,SDP-55,16,true,true,false,7,3,true,true,"Synthesis series, Dirac Live",homeT
14,JBL,SDP-58,16,true,true,false,7,3,true,true,Luxury JBL processor,homeT
15,Emotiva,XMC-2,16,true,true,false,7,2,true,true,"Dirac Live, modular design",homeT
16,Emotiva,RMC-1,16,true,true,false,7,3,true,true,Reference level Emotiva processor,homeT
17,Emotiva,RMC-1L,16,true,true,false,7,2,true,true,Slim reference processor,homeT
18,Denon,AVC-A1H Pre,15,true,true,false,7,3,true,true,Denon flagship processing section,homeT
19,Denon,AVC-X6700H Pre,13,true,true,false,7,3,true,true,Advanced surround processing,homeT
20,Yamaha,CX-A5200,11,true,true,false,7,3,true,true,Cinema DSP HD3,homeT
21,Yamaha,CX-A5100,11,true,true,false,7,3,true,true,High-end Yamaha processor,homeT
22,Datasat,RS20i,16,true,true,true,6,2,false,true,Professional cinema processor,homeT
23,Acurus,Muse,16,true,true,false,7,2,true,true,Dirac Live processor,homeT
24,Acurus,ACT 4,20,true,true,true,7,3,true,true,Modular immersive processor,homeT
25,MiniDSP,HTP-1,16,true,true,false,7,2,true,true,"Dirac Live, compact high-end",homeT
26,Tonewinner,AT-300,16,true,true,false,7,2,true,true,Affordable immersive processor,homeT
27,Monoprice,HTP-1,16,true,true,false,7,2,true,true,THX-certified processor,homeT
28,Integra,DRC-R1.1,11,true,true,false,7,2,true,true,Custom install processor,homeT
29,Onkyo,PR-RZ5100,11,true,true,false,7,2,true,true,THX Ultra certified,homeT
30,Marantz,AV8805A,13,true,true,false,7,3,true,true,Classic high-end AV processor,homeT
31,Denon,AVP-A1HDCI,10,false,false,false,6,2,false,false,Legacy flagship processor,homeT
