id,cable_category,cable_type,standard,cable_structure,connector_a,connector_b,max_length_m,max_data_rate_gbps,max_power_w,max_resolution,active,bidirectional,notes
1,Data,Ethernet,Cat1,UTP,RJ11,RJ11,100.00,0.0001,,,false,true,64 Kbps voice
2,Data,Ethernet,Cat2,UTP,RJ45,RJ45,100.00,0.0040,,,false,true,4 Mbps Token Ring
3,Data,Ethernet,Cat3,UTP,RJ45,RJ45,100.00,0.0100,,,false,true,10 Mbps Ethernet
4,Data,Ethernet,Cat4,UTP,RJ45,RJ45,100.00,0.0160,,,false,true,16 Mbps Token Ring
5,Data,Ethernet,Cat5,UTP,RJ45,RJ45,100.00,0.1000,,,false,true,100 Mbps Fast Ethernet
6,Data,Ethernet,Cat5e,UTP,RJ45,RJ45,100.00,1.0000,,,false,true,1 Gbps
7,Data,Ethernet,Cat5e,FTP,RJ45,RJ45,100.00,1.0000,,,false,true,1 Gbps Shielded
8,Data,Ethernet,Cat5e,STP,RJ45,RJ45,100.00,1.0000,,,false,true,1 Gbps Shielded
9,Data,Ethernet,Cat6,UTP,RJ45,RJ45,100.00,1.0000,,,false,true,1 Gbps
10,Data,Ethernet,Cat6,FTP,RJ45,RJ45,55.00,10.0000,,,false,true,10 Gbps up to 55m
11,Data,Ethernet,Cat6,STP,RJ45,RJ45,55.00,10.0000,,,false,true,10 Gbps up to 55m
12,Data,Ethernet,Cat6a,FTP,RJ45,RJ45,100.00,10.0000,,,false,true,Full 10 Gbps
13,Data,Ethernet,Cat6a,SFTP,RJ45,RJ45,100.00,10.0000,,,false,true,Enterprise grade
14,Data,Ethernet,Cat7,SFTP,GG45,GG45,100.00,10.0000,,,false,true,ISO/IEC standard
15,Data,Ethernet,Cat8,SFTP,RJ45,RJ45,30.00,40.0000,,,false,true,25/40 Gbps short range
16,Video,HDMI,HDMI 1.0,,HDMI-A,HDMI-A,15.00,4.9500,,1080p,false,true,Baseline
17,Video,HDMI,HDMI 1.1,,HDMI-A,HDMI-A,15.00,4.9500,,1080p,false,true,DVD-Audio
18,Video,HDMI,HDMI 1.2,,HDMI-A,HDMI-A,15.00,4.9500,,1080p,false,true,SACD
19,Video,HDMI,HDMI 1.3,,HDMI-A,HDMI-A,10.00,10.2000,,1440p,false,true,Deep Color
20,Video,HDMI,HDMI 1.4,,HDMI-A,HDMI-A,10.00,10.2000,,4K@30Hz,false,true,ARC
21,Video,HDMI,HDMI 2.0,,HDMI-A,HDMI-A,10.00,18.0000,,4K@60Hz,false,true,HDR
22,Video,HDMI,HDMI 2.0b,,HDMI-A,HDMI-A,10.00,18.0000,,4K@60Hz HDR,false,true,HLG
23,Video,HDMI,HDMI 2.1,,HDMI-A,HDMI-A,5.00,48.0000,,8K@60Hz / 4K@120Hz,false,true,VRR ALLM
24,Video,HDMI,HDMI 2.1 Active,,HDMI-A,HDMI-A,20.00,48.0000,,8K@60Hz,true,true,Optical / Active
25,Video,HDMI,HDMI 2.2,,HDMI-A,HDMI-A,5.00,96.0000,,10K@60Hz,false,true,Planned
26,Video,HDMI,HDMI 3.0,,HDMI-A,HDMI-A,3.00,120.0000,,16K,false,true,Future spec
27,Video,DisplayPort,DP 1.0,,DP,DP,3.00,8.6400,,1920x1200@60Hz,false,true,Baseline
28,Video,DisplayPort,DP 1.1,,DP,DP,3.00,8.6400,,2560x1600@60Hz,false,true,HDCP
29,Video,DisplayPort,DP 1.2,,DP,DP,3.00,21.6000,,4K@60Hz,false,true,HBR2
30,Video,DisplayPort,DP 1.3,,DP,DP,3.00,32.4000,,5K@60Hz,false,true,HBR3
31,Video,DisplayPort,DP 1.4,,DP,DP,3.00,32.4000,,8K@30Hz / 4K@120Hz,false,true,HDR DSC
32,Video,DisplayPort,DP 2.0,,DP,DP,2.00,80.0000,,8K@60Hz / 16K@60Hz,false,true,UHBR20
33,Video,DisplayPort,DP 2.1,,DP,DP,2.00,80.0000,,8K@120Hz / 16K@60Hz,false,true,Improved UHBR
34,Data,USB,USB 1.1,,USB-A,USB-B,3.00,0.0120,3,,false,true,12 Mbps
35,Data,USB,USB 2.0,,USB-A,USB-B,5.00,0.4800,3,,false,true,480 Mbps
36,Data,USB,USB 3.0,,USB-A,USB-A,3.00,5.0000,5,,false,true,USB 3.0 / Gen1
37,Data,USB,USB 3.1 Gen1,,USB-A,USB-A,3.00,5.0000,5,,false,true,Renamed USB 3.0
38,Data,USB,USB 3.1 Gen2,,USB-A,USB-C,2.00,10.0000,8,,false,true,10 Gbps
39,Data,USB,USB 3.2 Gen1,,USB-A,USB-C,3.00,5.0000,8,,false,true,5 Gbps
40,Data,USB,USB 3.2 Gen2,,USB-A,USB-C,2.00,10.0000,8,,false,true,10 Gbps
41,Data,USB,USB 3.2 Gen2x2,,USB-C,USB-C,1.00,20.0000,15,,false,true,20 Gbps
42,Hybrid,USB-C,USB-C Alt Mode,,USB-C,USB-C,2.00,10.0000,60,,false,true,DisplayPort Alt Mode
43,Hybrid,USB-C,USB-C Full Feature,,USB-C,USB-C,1.00,20.0000,100,,false,true,PD + Video + Data
44,Hybrid,Thunderbolt,Thunderbolt 1,,Mini-DP,Mini-DP,3.00,10.0000,10,,false,true,Legacy
45,Hybrid,Thunderbolt,Thunderbolt 2,,Mini-DP,Mini-DP,3.00,20.0000,10,,false,true,Channel bonding
46,Hybrid,Thunderbolt,Thunderbolt 3,,USB-C,USB-C,0.80,40.0000,100,,false,true,Passive
47,Hybrid,Thunderbolt,Thunderbolt 3 Active,,USB-C,USB-C,2.00,40.0000,100,,true,true,Active cable
48,Hybrid,Thunderbolt,Thunderbolt 4,,USB-C,USB-C,2.00,40.0000,100,,true,true,Mandatory active
