ID,Manufacturer,Model,Price Range (Ft),Body Type,Horsepower,Acceleration (s),Seats,Fuel Type,Year,Transmission,category,Avgprice
1,CITROEN,C4 Coupe 1.6 HDi VTR,1000000 - 3900000,Coupe,61 - 99,14.9 - 10,5,Diesel,2005-2008,Manual,car,1250000
2,OPEL,ASTRA H 1.4 GTC Essentia,1000000 - 3900000,Coupe,61 - 99,14.9 - 10,5,Petrol,2007-2010,Manual,car,1125000
3,HONDA,CR-Z 1.5,1000000 - 3900000,Coupe,100 - 149,14.9 - 10,4,Hybrid,2010-2013,Manual,car,2750000
4,VOLKSWAGEN,SCIROCCO 2.0 TFSI DSG,1000000 - 3900000,Coupe,200 - 249,7.9 - 6,4,Petrol,2008-2009,Automatic,car,3400000
5,AUDI,TTS Coupe 2.0 TFSI Quattro S-tronic,4000000 - 9900000,Coupe,250 - 299,5.9 - 4,4,Petrol,2008-2010,Automatic,car,4800000
6,MINI,Mini Cooper SE,4000000 - 9900000,Coupe,150 - 199,7.9 - 6,4,Electric,2021–,Automatic,car,9600000
7,BMW,I4 M50,10000000 - 24900000,Coupe,500+,Under 4,5,Electric,2021–,Automatic,car,20475000
8,PORSCHE,PANAMERA Turbo S E-Hybrid PDK,25000000 - 49900000,Coupe,500+,Under 4,4,Hybrid,2021–,Automatic,car,29700000
9,CHEVROLET,CORVETTE Coupe Stingray 6.2 V8 USA,25000000 - 49900000,Coupe,400 - 499,Under 4,2,Petrol,2022–,Automatic,car,40300000
10,PORSCHE,911 GT3 PDK,50000000 - 99900000,Coupe,500+,Under 4,2,Petrol,2021–,Automatic,car,88400000
11,FERRARI,812 SUPERFAST,100000000+,Coupe,500+,Under 4,2,Petrol,2018–,Automatic,car,122500000
