ID,Manufacturer,Model,Price Range (Ft),Body Type,Horsepower,Acceleration (s),Seats,Fuel Type,Year,Transmission,category,Avgprice
1,HYUNDAI,Santa Fe 2.0 CRDi GLS Leather 4WD,500000 - 999999,Crossover,100 - 149,14.9 - 10,5,Diesel,2001-2005,Manual,car,850000
2,NISSAN,Qashqai 2.0 dCi Tekna Pack 4WD,1000000 - 3900000,Crossover,150 - 199,14.9 - 10,5,Diesel,2007-2008,Manual,car,2235000
3,TOYOTA,RAV4 2.2 D-4D 4x4 Sol,1000000 - 3900000,Crossover,100 - 149,14.9 - 10,5,Diesel,2006-2010,Manual,car,2445000
4,VOLVO,XC70 2.4 D5 AWD Summum Geartronic,1000000 - 3900000,Crossover,200 - 249,9.9 - 8,5,Diesel,2009-2010,Automatic,car,3800000
5,MITSUBISHI,ASX 1.6 MIVEC Inform 2WD,1000000 - 3900000,Crossover,100 - 149,14.9 - 10,5,Petrol,2013–,Manual,car,3750000
6,FORD,Kuga 2.0 TDCi Titanium Technology,4000000 - 9900000,Crossover,150 - 199,9.9 - 8,5,Diesel,2013–,Manual,car,4300000
7,SUZUKI,S-Cross 1.4 Hybrid GL+,4000000 - 9900000,Crossover,100 - 149,9.9 - 8,5,Petrol,2021–,Automatic,car,7600000
8,AUDI,SQ7 4.0 V8 TDI quattro,10000000 - 24900000,Crossover,400 - 499,5.9 - 4,5,Diesel,2016–,Automatic,car,18500000
9,TESLA,Model Y Performance AWD,10000000 - 24900000,Crossover,500+,<4,5,Electric,2021–,Automatic,car,14300000
10,ALFA ROMEO,Stelvio 2.9 T-V6 Quadrifoglio Q4,10000000 - 24900000,Crossover,500+,<4,5,Petrol,2020–,Automatic,car,17700000
11,VOLVO,XC90 2.0 T8 Ultra Bright,25000000 - 49900000,Crossover,300 - 399,5.9 - 4,6+,Hybrid,2021–,Automatic,car,31500000
12,PORSCHE,Cayenne Coupe Turbo GT,25000000 - 49900000,Crossover,500+,<4,5,Petrol,2021–,Automatic,car,49250000
13,BMW,X6 M Competition,25000000 - 49900000,Crossover,500+,<4,5,Petrol,2023–,Automatic,car,44800000
14,BENTLEY,Bentayga 4.0 V8,50000000 - 99900000,Crossover,500+,5.9 - 4,5,Petrol,2016–,Automatic,car,92000000
