ID,Manufacturer,Model,controller_type,connection,motorized_faders,fader_count,rotary_encoders,buttons,display,touch_sensitive,daw_compatibility,platform_support,power_supply,skill_level,country_of_origin,release_year,notes,category,Price
1,Behringer," X-TOUCH ONE DAW vezérlő",DAW Controller,USB,true,1,1,30,LCD,true,"Ableton Live, Cubase, Logic Pro, Pro Tools","Windows, macOS",USB powered,Intermediate,China,2015,Egycsatornás motoros fader vezérlő,software,63400
2,Behringer," X-Touch Compact DAW vezérlő",DAW Controller,USB,false,9,16,39,LED,false,"Ableton Live, Cubase, Logic Pro","Windows, macOS",USB powered,Beginner,China,2014,"Kompakt DAW vezérlő, nem motoros faderekkel",software,92900
3,Behringer," X-Touch Extender DAW vezérlő",DAW Controller,USB,true,8,0,32,LCD,true,"Ableton Live, Cubase, Logic Pro, Pro Tools","Windows, macOS",External PSU,Advanced,China,2015,X-Touch rendszer bővítő egység,software,113200
4,Nektar," Panorama CS12 DAW vezérlő",DAW Controller,USB,true,12,10,40,Color LCD,true,"Cubase, Nuendo","Windows, macOS",External PSU,Professional,China,2023,"Cubase/Nuendo integráció, prémium vezérlő",software,160400
5,Novation Launch Control," XL MK3 DAW vezérlő",DAW Controller,USB,false,8,24,16,LED,false,Ableton Live,"Windows, macOS",USB powered,Beginner,China,2022,Abletonra optimalizált MIDI vezérlő,software,92200
6,Korg nanoKONTROL," Studio DAW vezérlő",DAW Controller,"USB, Bluetooth",false,8,8,32,LED,false,"Ableton Live, Cubase, Logic Pro","Windows, macOS",USB / Battery,Beginner,Vietnam,2016,Vezeték nélküli MIDI vezérlő,software,57900
7,Presonus," FaderPort 16 DAW vezérlő",DAW Controller,USB,true,16,1,89,LCD,true,"Studio One, Ableton Live","Windows, macOS",External PSU,Professional,China,2018,Nagy csatornaszámú motoros vezérlő,software,369500
8,Novation Launch Control," XL MK2 BK DAW vezérlő",DAW Controller,USB,false,8,24,16,LED,false,Ableton Live,"Windows, macOS",USB powered,Beginner,China,2022,Abletonra optimalizált MIDI vezérlő,software,71200
9,Slate Audio Raven," Core Station Duo DAW vezérlő",DAW Controller,USB,false,0,0,0,Touchscreen,true,"Pro Tools, Logic Pro","Windows, macOS",External PSU,Professional,USA,2020,Érintőkijelzős DAW vezérlő,software,1337500
10,AVID Pro Tools Dock Control," Surface DAW vezérlő",DAW Controller,Ethernet,true,8,8,50,LCD,true,Pro Tools,"Windows, macOS",External PSU,Professional,USA,2016,Avid Pro Tools natív vezérlő,software,571781
