ID,Manufacturer,Model,Price Range (Ft),Body Type,Horsepower,Acceleration (s),Seats,Fuel Type,Year,Transmission,category,Avgprice
1,SUZUKI,Ignis 1.3 GLX AC,500000 - 999999,Hatchback,61 - 99,14.9 - 10,5,Petrol,2004-2005,Manual,car,996000
2,VOLKSWAGEN,Golf 2.0 PD TDI,1000000 - 3900000,Hatchback,100 - 149,9.9 - 8,5,Diesel,2003-2009,Manual,car,1345000
3,HONDA,Civic 1.8 Sport,1000000 - 3900000,Hatchback,100 - 149,9.9 - 8,5,Petrol,2005-2008,Manual,car,2100000
4,SUBARU,Impreza 2.5 WRX,4000000 - 9900000,Hatchback,200 - 249,5.9 - 4,5,Petrol,2007-2010,Manual,car,4170000
5,VOLKSWAGEN,Golf 2.0 TSI GTI DSG,4000000 - 9900000,Hatchback,200 - 249,7.9 - 6,5,Petrol,2009-2012,Automatic,car,4150000
6,HONDA,Civic 2.0 Type R GT Pack,4000000 - 9900000,Hatchback,300 - 399,5.9 - 4,5,Petrol,2015–,Manual,car,9150000
7,MERCEDES-BENZ,Mercedes-AMG A 45 4Matic 7G-DCT,4000000 - 9900000,Hatchback,300 - 399,5.9 - 4,5,Petrol,2015–,Automatic,car,8610000
8,FORD,Focus 2.3 EcoBoost RS AWD,10000000 - 24900000,Hatchback,300 - 399,5.9 - 4,5,Petrol,2015–,Manual,car,11570000
9,AUDI,RS3 Sportback 55 TFSI quattro S-tronic,10000000 - 24900000,Hatchback,400 - 499,Under 4,5,Petrol,2021–,Automatic,car,18880000
10,AUDI,RS5 Sportback 60 TFSI quattro Tiptronic,25000000 - 49900000,Hatchback,400 - 499,Under 4,5,Petrol,2020–,Automatic,car,28810000
11,TESLA,Model S Plaid AWD,25000000 - 49900000,Hatchback,500+,Under 4,5,Electric,2021–,Automatic,car,32000000
12,MERCEDES-BENZ,EQS 580 4Matic,25000000 - 49900000,Hatchback,500+,5.9 - 4,5,Electric,2021–,Automatic,car,35850000
