id,manufacturer,model,series,connection_type,layout,key_count,switch_type,switch_brand,hot_swap,backlight,knob,display,battery_life_hours,case_material,mounting_style,polling_rate_hz,latency_ms,target_use,category,notes,created_at,Price
1,ASUS,ROG Falchion,ROG,wireless,65%,68,mechanical,ROG NX,false,RGB,false,false,450,plastic,tray,1000,1.0,gaming,pc,Compact wireless Falchion,2026-02-05 11:03:40.110303+00,50000
2,ASUS,ROG Falchion Wired,ROG,wired,65%,68,mechanical,ROG NX,false,RGB,false,false,,plastic,tray,1000,1.0,gaming,pc,Wired Falchion,2026-02-05 11:03:40.110303+00,105000
3,ASUS,ROG Falchion Ace,ROG,wired,65%,68,optical,ROG RX,false,RGB,false,false,,plastic,tray,8000,0.2,gaming,pc,8K polling esports keyboard,2026-02-05 11:03:40.110303+00,65000
4,ASUS,ROG Azoth,ROG,wireless,75%,81,mechanical,ROG NX,true,RGB,true,true,2000,aluminum,gasket,1000,1.0,gaming/typing,pc,OLED display + knob,2026-02-05 11:03:40.110303+00,212000
5,ASUS,ROG Azoth Extreme,ROG,wireless,75%,81,mechanical,ROG NX,true,RGB,true,true,1600,aluminum,gasket,1000,1.0,enthusiast,pc,Premium Azoth variant,2026-02-05 11:03:40.110303+00,212000
6,Keychron,K2,K,dual,75%,84,mechanical,Gateron,false,RGB,false,false,240,plastic,tray,1000,2,mixed,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,43000
7,Keychron,K6,K,dual,65%,68,mechanical,Gateron,false,RGB,false,false,240,plastic,tray,1000,2,mixed,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,47000
8,Keychron,K8,K,dual,TKL,87,mechanical,Gateron,false,RGB,false,false,240,plastic,tray,1000,2,mixed,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,20000
9,Keychron,K Pro K2,K Pro,dual,75%,84,mechanical,Gateron,true,RGB,false,false,300,plastic,gasket,1000,2,typing,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,61000
10,Keychron,K Pro K6,K Pro,dual,65%,68,mechanical,Gateron,true,RGB,false,false,300,plastic,gasket,1000,2,typing,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,68000
11,Keychron,Q1,Q,wired,75%,82,mechanical,Gateron,true,RGB,true,false,,aluminum,gasket,1000,1.5,typing,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,51000
12,Keychron,Q2,Q,wired,65%,68,mechanical,Gateron,true,RGB,true,false,,aluminum,gasket,1000,1.5,typing,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,90000
13,Keychron,Q3,Q,wired,TKL,87,mechanical,Gateron,true,RGB,true,false,,aluminum,gasket,1000,1.5,typing,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,130000
14,Keychron,Q1 Pro,Q Pro,dual,75%,82,mechanical,Gateron,true,RGB,true,false,300,aluminum,gasket,1000,1.5,typing,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,150000
15,Keychron,Q2 Pro,Q Pro,dual,65%,68,mechanical,Gateron,true,RGB,true,false,300,aluminum,gasket,1000,1.5,typing,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,75000
16,Keychron,V1,V,wired,75%,82,mechanical,Keychron,true,RGB,false,false,,plastic,tray,1000,2,budget,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,51000
17,Keychron,V2,V,wired,65%,68,mechanical,Keychron,true,RGB,false,false,,plastic,tray,1000,2,budget,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,60000
18,Keychron,C1,C,wired,TKL,87,mechanical,Gateron,false,RGB,false,false,,plastic,tray,1000,2,budget,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,42000
19,Keychron,C2,C,wired,full-size,104,mechanical,Gateron,false,RGB,false,false,,plastic,tray,1000,2,budget,pc,2026-02-05 11:03:40.110303+00,2026-02-05 11:03:40.110303+00,38000
