ID,manufacturer,Model,Socket,Chipset,FormFactor,RamType,RamSlots,RamMaxMHZ,RamMaxSizeGB,PCIeVersion,M2Slots,SATAPorts,LanSpeed,WiFi,Bluetooth,AudioChip,USBPortsRear,RGBSupport,Price,category
1,GIGABYTE,B650 EAGLE AX,AM5,B650,ATX,DDR5,4,6400,128,5.0,3,4,2.5G,WiFi 6,BT 5.2,Realtek ALC897,8,ARGB + RGB,89990,PC
2,MSI,MAG B650 Tomahawk WIFI,AM5,B650,ATX,DDR5,4,6600,128,5.0,3,6,2.5G,WiFi 6E,BT 5.3,Realtek ALC4080,10,ARGB + RGB,109990,PC
3,ASUS,ROG Strix B850-F GAMING WIFI (90MB1J70-M0EAY0),LGA1851,B850,ATX,DDR5,4,7600,192,5.0,4,6,2.5G,WiFi 7,BT 5.4,Realtek ALC4082,12,ARGB + RGB,169990,PC
4,ASRock,B450M-HDV R4.0,AM4,B450,Micro-ATX,DDR4,2,3533,64,3.0,1,4,1G,-,-,Realtek ALC887,6,RGB,29990,PC
5,ASUS,TUF Gaming B850-PLUS WIFI (90MB1J30-M0EAY0),LGA1851,B850,ATX,DDR5,4,7600,192,5.0,3,6,2.5G,WiFi 7,BT 5.4,Realtek ALC4080,10,ARGB + RGB,149990,PC
6,ASUS,TUF Gaming B650-PLUS WIFI,AM5,B650,ATX,DDR5,4,6400,128,5.0,3,4,2.5G,WiFi 6,BT 5.2,Realtek ALC897,8,ARGB + RGB,104990,PC
7,MSI,B850M GAMING PLUS WIFI6E,LGA1851,B850,Micro-ATX,DDR5,4,7200,192,5.0,3,6,2.5G,WiFi 6E,BT 5.3,Realtek ALC4080,8,ARGB + RGB,129990,PC
8,ASRock,B650M-HDV/M.2,AM5,B650,Micro-ATX,DDR5,2,6200,96,5.0,2,4,2.5G,-,-,Realtek ALC897,6,ARGB,76990,PC
9,ASUS,TUF Gaming B850M-PLUS WIFI (90MB1IY0-M0EAY0),LGA1851,B850,Micro-ATX,DDR5,4,7400,192,5.0,3,6,2.5G,WiFi 7,BT 5.4,Realtek ALC4082,10,ARGB + RGB,139990,PC
10,ASUS,TUF Gaming A520M-PLUS II,AM4,A520,Micro-ATX,DDR4,4,4600,128,3.0,1,4,1G,-,-,Realtek ALC897,6,RGB,32990,PC
11,GIGABYTE,B850 AORUS ELITE WIFI7,LGA1851,B850,ATX,DDR5,4,7800,192,5.0,4,6,2.5G,WiFi 7,BT 5.4,Realtek ALC4082,10,ARGB + RGB,174990,PC
12,MSI,MAG B850 TOMAHAWK MAX WIFI,LGA1851,B850,ATX,DDR5,4,7600,192,5.0,4,6,2.5G,WiFi 7,BT 5.4,Realtek ALC4080,10,ARGB + RGB,164990,PC
13,ASUS,ROG Strix B760-F Gaming WIFI,LGA1700,B760,ATX,DDR5,4,7200,128,5.0,3,6,2.5G,WiFi 6E,BT 5.3,Realtek ALC4080,10,ARGB + RGB,129990,PC
14,MSI,B650 GAMING PLUS WIFI,AM5,B650,ATX,DDR5,4,6400,128,5.0,3,6,2.5G,WiFi 6E,BT 5.3,Realtek ALC897,8,ARGB + RGB,99990,PC
15,MSI,MAG X870 TOMAHAWK WIFI,AM5,X870,ATX,DDR5,4,7800,192,5.0,4,6,2.5G,WiFi 7,BT 5.4,Realtek ALC4082,10,ARGB + RGB,179990,PC
16,GIGABYTE,B850M GAMING X WIFI6E,LGA1851,B850,Micro-ATX,DDR5,4,7200,192,5.0,3,6,2.5G,WiFi 6E,BT 5.3,Realtek ALC897,8,ARGB + RGB,124990,PC
17,ASUS,ROG STRIX B650E-F GAMING WIFI,AM5,B650E,ATX,DDR5,4,7600,192,5.0,4,6,2.5G,WiFi 6E,BT 5.3,Realtek ALC4080,10,ARGB + RGB,159990,PC
18,ASUS,TUF Gaming B760-PLUS WIFI,LGA1700,B760,ATX,DDR5,4,7000,128,5.0,3,6,2.5G,WiFi 6,BT 5.2,Realtek ALC897,8,ARGB + RGB,109990,PC
19,ASUS,ROG STRIX B550-F GAMING,AM4,B550,ATX,DDR4,4,5100,128,4.0,2,6,2.5G,-,-,Realtek ALC1220,8,ARGB + RGB,79990,PC
20,ASUS,ROG CROSSHAIR X870E HERO,AM5,X870E,ATX,DDR5,4,8000,192,5.0,5,6,2.5G,WiFi 7,BT 5.4,Realtek ALC4082,12,ARGB + RGB,259990,PC
21,MSI,MPG B550 GAMING PLUS,AM4,B550,ATX,DDR4,4,4733,128,4.0,2,6,2.5G,-,-,Realtek ALC892,8,ARGB + RGB,64990,PC
22,MSI,B760 GAMING PLUS WIFI,LGA1700,B760,ATX,DDR5,4,7000,128,5.0,3,6,2.5G,WiFi 6,BT 5.2,Realtek ALC897,8,ARGB + RGB,104990,PC
23,GIGABYTE,Z790 AORUS ELITE AX,LGA1700,Z790,ATX,DDR5,4,7600,192,5.0,4,6,2.5G,WiFi 6E,BT 5.3,Realtek ALC4080,10,ARGB + RGB,169990,PC
24,ASUS,PRIME B760M-A-CSM,LGA1700,B760,Micro-ATX,DDR5,4,6800,128,5.0,2,4,2.5G,-,-,Realtek ALC897,8,ARGB + RGB,84990,PC
25,ASUS,PRIME B760M-K,LGA1700,B760,Micro-ATX,DDR5,2,6400,96,4.0,2,4,1G,-,-,Realtek ALC897,6,RGB,69990,PC
26,MSI,B760 GAMING PLUS WIFI DDR4,LGA1700,B760,ATX,DDR4,4,5333,128,5.0,3,6,2.5G,WiFi 6,BT 5.2,Realtek ALC897,8,ARGB + RGB,94990,PC
27,ASUS,TUF Gaming Z890-PLUS WIFI,LGA1851,Z890,ATX,DDR5,4,8000,192,5.0,4,6,2.5G,WiFi 7,BT 5.4,Realtek ALC4082,10,ARGB + RGB,199990,PC
28,ASUS,PRIME B860M-K (90MB1JT0-M0EAY0),LGA1851,B860,Micro-ATX,DDR5,2,6800,96,5.0,2,4,1G,-,-,Realtek ALC897,6,RGB,82990,PC
