id,manufacturer,model,series,speaker_type,power_mode,wired_inputs,wireless,water_resistance,battery_hours,notes,category,created_at,Price
1,JBL,JBL Boombox 3,Boombox,portable,battery_or_plug,,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,134000
2,JBL,JBL Boombox 3 Wi-Fi,Boombox,smart_wifi,battery_or_plug,,wifi+bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,180000
3,JBL,JBL Boombox 4,Boombox,portable,battery_or_plug,,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,177000
4,JBL,JBL Charge 5,Charge,portable,battery_or_plug,,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,53000
5,JBL,JBL Charge 5 Wi-Fi,Charge,smart_wifi,battery_or_plug,,wifi+bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,78000
6,JBL,JBL Charge 5 Wi-Fi SE,Charge,smart_wifi,battery_or_plug,,wifi+bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,80000
7,JBL,JBL Charge 6,Charge,portable,battery_or_plug,,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,63000
8,JBL,JBL Xtreme 3,Xtreme,portable,battery_or_plug,,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,87000
9,JBL,JBL Xtreme 4,Xtreme,portable,battery_or_plug,,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,100000
10,JBL,JBL Flip 6,Flip,portable,battery_or_plug,,bluetooth,IP67,12,Official JBL lists 12h playtime.,homeT,2026-01-31 16:41:19.451698+00,43000
11,JBL,JBL Flip 7,Flip,portable,battery_or_plug,,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,53000
12,JBL,JBL Flip 7 Tomorrowland,Flip,portable,battery_or_plug,,bluetooth,,,Special edition.,homeT,2026-01-31 16:41:19.451698+00,46000
13,JBL,JBL Clip 4,Clip,portable,battery,--,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,10000
14,JBL,JBL Clip 4 Eco,Clip,portable,battery,--,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,24000
15,JBL,JBL Clip 5,Clip,portable,battery,--,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,26000
16,JBL,JBL Go 4,Go,portable,battery,--,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,20000
17,JBL,JBL Go Essential,Go,portable,battery,--,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,13000
18,JBL,JBL Go Essential 2,Go,portable,battery,--,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,15000
19,JBL,JBL Go Essential Special Edition,Go,portable,battery,--,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,12000
20,JBL,JBL Pulse 4,Pulse,portable,battery_or_plug,,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,90000
21,JBL,JBL Pulse 5,Pulse,portable,battery_or_plug,,bluetooth,IP67,12,"Spec sheet: 30W+10W RMS, up to 12h.",homeT,2026-01-31 16:41:19.451698+00,110000
22,JBL,JBL Horizon 2 FM,Horizon,radio,plug_only,,bluetooth,,,Clock radio.,homeT,2026-01-31 16:41:19.451698+00,58000
23,JBL,JBL Tuner 2,Tuner,radio,battery_or_plug,,bluetooth,,,DAB/DAB+/FM radio.,homeT,2026-01-31 16:41:19.451698+00,58000
24,JBL,JBL Tuner 2 FM,Tuner,radio,battery_or_plug,,bluetooth,,,FM version.,homeT,2026-01-31 16:41:19.451698+00,90000
25,JBL,JBL Tuner 3,Tuner,radio,battery_or_plug,,bluetooth,,15,"Portable radio speaker, up to 15h listed.",homeT,2026-01-31 16:41:19.451698+00,47000
26,JBL,JBL Tuner XL,Tuner,radio,battery_or_plug,,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,71000
27,JBL,JBL Tuner XL FM,Tuner,radio,battery_or_plug,,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,75000
28,JBL,JBL PartyBox On-The-Go,PartyBox,party,battery_or_plug,mic,bluetooth,,,Party speaker.,homeT,2026-01-31 16:41:19.451698+00,160000
29,JBL,JBL PartyBox On-The-Go Essential,PartyBox,party,battery_or_plug,mic,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,150000
30,JBL,JBL PartyBox Club 120,PartyBox,party,battery_or_plug,mic,bluetooth,splashproof,,,homeT,2026-01-31 16:41:19.451698+00,140000
31,JBL,JBL PartyBox Stage 320,PartyBox,party,battery_or_plug,mic,bluetooth,splashproof,,"Replaceable battery, wheels.",homeT,2026-01-31 16:41:19.451698+00,220000
32,JBL,JBL PartyBox 520,PartyBox,party,battery_or_plug,mic,bluetooth,,,,homeT,2026-01-31 16:41:19.451698+00,260000
33,JBL,JBL PartyBox 710,PartyBox,party,plug_only,mic,bluetooth,splashproof,,Listed as 800W RMS on JBL page.,homeT,2026-01-31 16:41:19.451698+00,320000
34,JBL,JBL PartyBox 720,PartyBox,party,battery_or_plug,mic,bluetooth,,,Battery-powered PartyBox (JBL Party Speakers page).,homeT,2026-01-31 16:41:19.451698+00,360000
35,JBL,JBL PartyBox 310,PartyBox,party,battery_or_plug,mic,bluetooth,,,JBL Party Speakers page.,homeT,2026-01-31 16:41:19.451698+00,160000
36,JBL,JBL PartyBox Ultimate,PartyBox,party,plug_only,mic,bluetooth,splashproof,,,homeT,2026-01-31 16:41:19.451698+00,520000
