ID,manufacturer,model,memory_type,capacity_gb,sticks,speed_mhz,cas_latency,price,category
1,Kingston,FURY Beast 64GB (2x32GB),DDR5,64,2,6000,30,350000,PC
3,Kingston,FURY Beast 64GB (2x32GB),DDR4,64,2,3200,16,197000,PC
4,Kingston,FURY Beast 64GB (2x32GB),DDR5,64,2,5600,40,300000,PC
5,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,6000,30,113000,PC
6,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,5600,40,120000,PC
7,Kingston,FURY Beast RGB 32GB (2x16GB),DDR5,32,2,6000,30,131000,PC
8,Kingston,FURY Beast 32GB (2x16GB),DDR4,32,2,3200,16,156000,PC
9,Kingston,FURY Beast 32GB (2x16GB),DDR4,32,2,3200,16,113000,PC
10,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,5600,36,180000,PC
11,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,5200,40,120000,PC
12,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,6000,36,115000,PC
13,Kingston,FURY Beast RGB 32GB (2x16GB),DDR5,32,2,6000,30,130000,PC
14,Kingston,FURY Beast 32GB (2x16GB),DDR4,32,2,3600,18,100000,PC
15,Kingston,FURY Beast 16GB (2x8GB),DDR4,16,2,3200,16,65000,PC
16,Kingston,FURY Beast 16GB,DDR5,16,1,5200,40,60000,PC
17,Kingston,ValueRAM 16GB,DDR4,16,1,3200,22,55000,PC
18,Kingston,FURY Beast 16GB,DDR5,16,1,6000,30,58000,PC
19,Kingston,FURY Beast 16GB,DDR5,16,1,5600,40,58000,PC
20,Kingston,FURY Beast 16GB (2x8GB),DDR5,16,2,6000,36,67000,PC
21,Kingston,FURY Beast 16GB,DDR4,16,1,3200,16,49000,PC
22,Kingston,FURY Beast 16GB,DDR5,16,1,5600,36,82000,PC
23,Kingston,FURY Beast 16GB,DDR4,16,1,3200,16,50000,PC
24,Kingston,FURY Impact 16GB,DDR4,16,1,3200,20,87000,PC
26,Kingston,FURY Beast 32GB,DDR5,32,1,6000,30,225000,PC
27,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,5600,36,180000,PC
28,Kingston,FURY Renegade 32GB (2x16GB),DDR5,32,2,6400,32,225000,PC
29,Kingston,FURY Renegade 32GB (2x16GB),DDR4,32,2,3600,16,128000,PC
30,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,6400,32,225000,PC
31,Kingston,FURY Beast 8GB,DDR5,8,1,5600,40,58000,PC
32,Kingston,FURY Beast 8GB,DDR4,8,1,3200,16,33000,PC
33,Corsair,Vengeance RGB 32GB (2x16GB),DDR5,32,2,6000,28,250000,PC
34,Corsair,Vengeance LPX 32GB (2x16GB),DDR4,32,2,3200,16,112000,PC
35,Corsair,Vengeance 32GB (2x16GB),DDR5,32,2,6000,30,277000,PC
37,Corsair,Vengeance LPX 16GB (2x8GB),DDR4,16,2,3200,16,55000,PC
39,Patriot,Viper Venom 32GB (2x16GB),DDR5,32,2,6000,30,160000,PC
41,G.SKILL,Aegis 16GB (2x8GB),DDR4,16,2,3200,16,50000,PC
42,G.SKILL,Aegis 32GB (2x16GB),DDR4,32,2,3200,16,97000,PC
44,G.SKILL,Trident Z5 Neo RGB 32GB (2x16GB),DDR5,32,2,6000,30,180000,PC
45,G.SKILL,Flare X5 32GB (2x16GB),DDR5,32,2,6000,36,213000,PC
46,G.SKILL,Flare X5 32GB (2x16GB),DDR5,32,2,6000,30,180000,PC
47,G.SKILL,Trident Z5 Neo RGB 64GB (2x32GB),DDR5,64,2,6000,30,410000,PC
48,G.SKILL,Trident Z5 RGB 32GB (2x16GB),DDR5,32,2,6400,32,117000,PC
49,G.SKILL,Trident Z5 32GB (2x16GB),DDR5,32,2,6000,30,205000,PC
50,Crucial,Pro 64GB (2x32GB),DDR5,64,2,6400,40,198590,PC
