ID,manufacturer,model,memory_type,capacity_gb,sticks,speed_mhz,cas_latency,price,category
1,Kingston,FURY Beast 64GB (2x32GB),DDR5,64,2,6000,30,,PC
2,Kingston,FURY Beast 64GB (2x32GB),DDR5,64,2,6000,36,,PC
3,Kingston,FURY Beast 64GB (2x32GB),DDR4,64,2,3200,16,,PC
4,Kingston,FURY Beast 64GB (2x32GB),DDR5,64,2,5600,40,,PC
5,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,6000,30,,PC
6,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,5600,40,,PC
7,Kingston,FURY Beast RGB 32GB (2x16GB),DDR5,32,2,6000,30,,PC
8,Kingston,FURY Beast 32GB (2x16GB),DDR4,32,2,3200,16,,PC
9,Kingston,FURY Beast 32GB (2x16GB),DDR4,32,2,3200,16,,PC
10,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,5600,36,,PC
11,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,5200,40,,PC
12,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,6000,36,,PC
13,Kingston,FURY Beast RGB 32GB (2x16GB),DDR5,32,2,6000,30,,PC
14,Kingston,FURY Beast 32GB (2x16GB),DDR4,32,2,3600,18,,PC
15,Kingston,FURY Beast 16GB (2x8GB),DDR4,16,2,3200,16,,PC
16,Kingston,16GB,DDR5,16,1,5200,40,,PC
17,Kingston,ValueRAM 16GB,DDR4,16,1,3200,22,,PC
18,Kingston,FURY Beast 16GB,DDR5,16,1,6000,30,,PC
19,Kingston,FURY Beast 16GB,DDR5,16,1,5600,40,,PC
20,Kingston,FURY Beast 16GB (2x8GB),DDR5,16,2,6000,36,,PC
21,Kingston,FURY Beast 16GB,DDR4,16,1,3200,16,,PC
22,Kingston,FURY Beast 16GB,DDR5,16,1,5600,36,,PC
23,Kingston,FURY Beast 16GB,DDR4,16,1,3200,16,,PC
24,Kingston,FURY Impact 16GB,DDR4,16,1,3200,20,,PC
25,Kingston,FURY Beast 16GB,DDR5,16,1,6000,36,,PC
26,Kingston,FURY Beast 32GB,DDR5,32,1,6000,30,,PC
27,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,5600,36,,PC
28,Kingston,FURY Renegade 32GB (2x16GB),DDR5,32,2,6400,32,,PC
29,Kingston,FURY Renegade 32GB (2x16GB),DDR4,32,2,3600,16,,PC
30,Kingston,FURY Beast 32GB (2x16GB),DDR5,32,2,6400,32,,PC
31,Kingston,FURY Beast 8GB,DDR5,8,1,5600,40,,PC
32,Kingston,FURY Beast 8GB,DDR4,8,1,3200,16,,PC
33,Corsair,Vengeance RGB 32GB (2x16GB),DDR5,32,2,6000,28,,PC
34,Corsair,Vengeance LPX 32GB (2x16GB),DDR4,32,2,3200,16,,PC
35,Corsair,Vengeance 32GB (2x16GB),DDR5,32,2,6000,30,,PC
36,Corsair,Vengeance 32GB (2x16GB),DDR5,32,2,6000,36,,PC
37,Corsair,Vengeance LPX 16GB (2x8GB),DDR4,16,2,3200,16,,PC
38,Corsair,Vengeance LPX 16GB (2x8GB),DDR4,16,2,3200,16,,PC
39,Patriot,Viper Venom 32GB (2x16GB),DDR5,32,2,6000,30,,PC
40,Patriot,Viper Venom 32GB (2x16GB),DDR5,32,2,6000,36,,PC
41,G.SKILL,Aegis 16GB (2x8GB),DDR4,16,2,3200,16,,PC
42,G.SKILL,Aegis 32GB (2x16GB),DDR4,32,2,3200,16,,PC
43,G.SKILL,Aegis 16GB (2x8GB),DDR4,16,2,3000,16,,PC
44,G.SKILL,Trident Z5 Neo RGB 32GB (2x16GB),DDR5,32,2,6000,30,,PC
45,G.SKILL,Flare X5 32GB (2x16GB),DDR5,32,2,6000,36,,PC
46,G.SKILL,Flare X5 32GB (2x16GB),DDR5,32,2,6000,30,,PC
47,G.SKILL,Trident Z5 Neo RGB 64GB (2x32GB),DDR5,64,2,6000,30,,PC
48,G.SKILL,Trident Z5 RGB 32GB (2x16GB),DDR5,32,2,6400,32,,PC
49,G.SKILL,Trident Z5 32GB (2x16GB),DDR5,32,2,6000,30,,PC
50,Crucial,Pro 64GB (2x32GB),DDR5,64,2,6400,40,,PC
