id,manufacturer,model,generation,series,interface,inputs_total,outputs_total,mic_inputs,line_inputs,instrument_inputs,headphone_outputs,max_sample_rate,bit_depth,phantom_power,air_mode,dsp,latency_ms,midi_in,midi_out,adat_inputs,adat_outputs,rack_mountable,bus_powered,dimensions,weight_kg,compatible_os,release_year,notes,created_at,category
1,Focusrite,Scarlett Solo,4th Gen,Scarlett,USB,2,2,1,,1,1,192000,24,true,true,false,2.00,false,false,,,false,true,,,"Windows, macOS",2023,Belépő szintű audio interfész,2025-12-15 11:20:02.872531,speakerS
2,Focusrite,Scarlett 2i2,4th Gen,Scarlett,USB,4,2,2,,2,1,192000,24,true,true,false,2.00,false,false,,,false,true,,,"Windows, macOS",2023,Otthoni stúdiók kedvence,2025-12-15 11:20:02.872531,speakerS
3,Focusrite,Scarlett 4i4,4th Gen,Scarlett,USB,4,4,2,,2,2,192000,24,true,true,false,2.00,true,true,,,false,true,,,"Windows, macOS",2023,MIDI + több kimenet,2025-12-15 11:20:02.872531,speakerS
4,Focusrite,Scarlett 8i6,4th Gen,Scarlett,USB,8,6,2,,2,2,192000,24,true,true,false,2.00,true,true,,,false,true,,,"Windows, macOS",2023,"Több bemenet, kompakt méret",2025-12-15 11:20:02.872531,speakerS
5,Focusrite,Scarlett 18i16,4th Gen,Scarlett,USB,18,16,8,,2,2,192000,24,true,false,false,2.50,true,true,,,true,false,,,"Windows, macOS",2023,Rack audio interfész,2025-12-15 11:20:02.872531,speakerS
6,Focusrite,Scarlett Solo,3rd Gen,Scarlett,USB,2,2,1,,1,1,192000,24,true,true,false,2.50,false,false,,,false,true,,,"Windows, macOS",2019,Belépő szint,2025-12-15 11:20:02.872531,speakerS
7,Focusrite,Scarlett 2i2,3rd Gen,Scarlett,USB,4,2,2,,2,1,192000,24,true,true,false,2.50,false,false,,,false,true,,,"Windows, macOS",2019,Legnépszerűbb modell,2025-12-15 11:20:02.872531,speakerS
8,Focusrite,Scarlett 4i4,3rd Gen,Scarlett,USB,4,4,2,,2,2,192000,24,true,false,false,2.50,true,true,,,false,true,,,"Windows, macOS",2019,MIDI támogatás,2025-12-15 11:20:02.872531,speakerS
9,Focusrite,Scarlett 8i6,3rd Gen,Scarlett,USB,8,6,2,,2,2,192000,24,true,false,false,2.50,true,true,,,false,true,,,"Windows, macOS",2019,Haladó felhasználóknak,2025-12-15 11:20:02.872531,speakerS
10,Focusrite,Scarlett 18i8,3rd Gen,Scarlett,USB,18,8,4,,2,2,192000,24,true,false,false,2.50,true,true,,,true,false,,,"Windows, macOS",2019,Rack kivitel,2025-12-15 11:20:02.872531,speakerS
